标题,卖点,总价,单价,户型,楼层,共有楼层数,装修,朝向,建造时间,面积,小区,区域,所属区,梯户比例,是否有电梯,详情页,
业主诚心割爱南向二次装修3房！,68.9方.方正三房 冬暖夏凉 低密度住宅,168,24384,3室2厅,中楼层,4,精装,南,1995,68.9,祈福新村E区,祈福新村,番禺,一梯一户,无,商品房,https://gz.lianjia.com/ershoufang/108403394974.html
东风东路754号大院 电梯三房 全新装修,东风东 大院管理 户型方正 房改房 满五不唯一 ..,588,80263,3室1厅,高楼层,12,精装,南,1988,73.26,东风东路754号大院,东风东,越秀,一梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108403397125.html
顶楼复式有露台，种花养鱼任你用，实用率zhao高,房产证满五年，格局方正，使用率高，二期中间位置,240,23834,3室1厅,高楼层,7,简装,西北,2001,100.7,朗陶居,桥南,番禺,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403396562.html
花都湖锦砖三房 小区管理 安静不靠路,户型方正，三房，采光通风，视野宽阔，花都湖200米,110,11350,3室1厅,高楼层,8,简装,南,2004,96.92,日昌豪苑,旧区,花都,一梯十户,无,商品房,https://gz.lianjia.com/ershoufang/108403399578.html
满五年少税费，房屋格局好，户型方正,满五年少税费，房屋格局好，户型方正,420,60000,2室1厅,低楼层,8,简装,东南,1999,70,电视台小区,龙口西,天河,一梯八户,无,商品房,https://gz.lianjia.com/ershoufang/108403396532.html
新世界电梯2房，精装修，保养新,此房源满五年唯一物业，税费少，中高层采光好，精装修，不靠马路,305,38938,2室1厅,高楼层,19,精装,西南,2007,78.33,新世界逸彩庭园,蚩,荔湾,两梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403400282.html
冠庭园精致两房，交通教育娱乐生活便捷,地铁口 满五唯一 精装方正两房 厅出阳台舒适 生活便利配套全面,200,33887,2室1厅,高楼层,6,精装,西南,2001,59.02,冠庭园,沙河,天河,一梯六户,无,商品房,https://gz.lianjia.com/ershoufang/108403398893.html
嘉富广场 3室1厅 南 北,链家网真房源，更多房源信息请联系经纪人,640,68582,3室1厅,高楼层,9,其他,南 北,1999,93.32,嘉富广场,水荫,越秀,两梯十三户,有,商品房,https://gz.lianjia.com/ershoufang/108403399087.html
工业路 此房是三房 框架结构 可以公积金贷款,大厅宽敞明亮，此房是三房，格局比较方正。框架结构,123,13517,3室1厅,中楼层,7,简装,南,0,91,工业路,市桥,番禺,一梯两户,无,商品房,https://gz.lianjia.com/ershoufang/108403401933.html
广州北站，地铁口，舒适大三房。,本房满五年，房子格局方正，采光通风好,160,13418,3室2厅,中楼层,10,精装,北,2012,119.25,云山雅轩,旧区,花都,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403396013.html
康怡居绿化好 环境优美 南向二楼  过五唯一 视野好,康怡居绿化好 环境优美 南向二楼  过五唯一 视野好,265,30196,3室2厅,低楼层,6,精装,南,2002,87.76,祈福新村康怡居,祈福新村,番禺,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403399019.html
原装电梯，精装修，各付各税，低于成交历史,精装修，原装电梯，单边位，低于小区成交记录,245,38408,2室1厅,中楼层,12,精装,西,2000,63.79,金丰花园,赤岗,海珠,一梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403399041.html
天荣小区 2室1厅 西,链家网真房源，更多房源信息请联系经纪人,450,60330,2室1厅,高楼层,24,精装,西,1997,74.59,天荣小区,天河南,天河,三梯七户,有,商品房,https://gz.lianjia.com/ershoufang/108403402184.html
锦绣半岛金月湾 电梯高层 视野开阔 装修保养好,金月湾三期 中高层采光好 装修保养好,313,33548,3室2厅,高楼层,31,精装,东北,2009,93.3,锦绣半岛金月湾,南浦,番禺,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403397156.html
银利新村电梯高层南向四房 带私家50花园 少有资源,电梯实用四房，南向户型好格局方正，带自己家花园50方,390,41725,4室1厅,高楼层,10,简装,南,0,93.47,银利新村,沙太南,天河,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403400483.html
南向 江燕路南向两房 业主诚意放卖,满五飞唯一  低楼层 视野宽阔 采光充足,170,27446,2室1厅,中楼层,9,其他,东南,0,61.94,江燕路,江燕路,海珠,一梯五户,无,商品房,https://gz.lianjia.com/ershoufang/108403397939.html
五山地铁、华工东秀村少有三房..,此房产权清晰，近地铁，校园内，近饭堂，满五唯一,660,79634,3室1厅,低楼层,9,简装,南,0,82.88,华南理工大学宿舍东秀村,五山,天河,一梯三户,有,房改房,https://gz.lianjia.com/ershoufang/108403405881.html
过五唯一 无按揭 产权清晰无比 新装修直接入住,06年10月收楼入住 保养好直接入住 很温馨的小三房,468,60764,3室2厅,低楼层,28,精装,北,2007,77.02,逸景翠园,广州大道南,海珠,三梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403405005.html
高档社区清水房，东南向看小区里面,东南向看小区花园，可按照自己喜欢的风格装修,180,17143,3室1厅,低楼层,24,毛坯,南,2002,105,碧桂园凤凰城凤锦苑,凤凰城,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403400081.html
春庭花园 电梯两房精装修 满五唯一 税费少,满五唯一，业主自住，装修保养好，家私家电都是新的。,172,25857,2室1厅,高楼层,9,精装,北,1999,66.52,春庭花园,元下田,白云,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403403278.html
聚龙阁 厅出阳台 大三房 安静舒适  视野开阔,聚龙阁 厅出阳台 安静舒适 大三房 视野开阔,750,69677,3室2厅,高楼层,31,精装,东 东北,2004,107.64,聚龙阁,龙口西,天河,三梯九户,有,商品房,https://gz.lianjia.com/ershoufang/108403402541.html
华侨新村 3室2厅 东南,链家网真房源，更多房源信息请联系经纪人,728,65117,3室2厅,中楼层,7,精装,东南,2000,111.8,华侨新村,淘金,越秀,一梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108403406500.html
东南向三房两卫，花园小区近地铁，省级,东南向三房两卫，花园小区近地铁，省级,630,53161,3室2厅,中楼层,18,简装,南,2002,118.51,江南苑,工业大道北,海珠,两梯九户,有,商品房,https://gz.lianjia.com/ershoufang/108403401966.html
洛溪新城 交通便利 南向两房户型方正,成熟社区，楼层好，采光充足，满五唯一,138,20784,2室2厅,高楼层,7,简装,南 北,1995,66.4,如意二马路,洛溪,番禺,一梯两户,无,商品房,https://gz.lianjia.com/ershoufang/108403401473.html
时代花生 高层南向大阳台3房 南北对流  自住保养好,高层南向大阳台 通风采光好  视野开阔 自住保养好,385,44463,3室1厅,高楼层,32,精装,南,0,86.59,时代花生Ⅱ,同和,白云,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403407092.html
小区环境好 鸟语花香  楼龄新  户型方正 ，满5年,白云山脚下，环境好，南向电梯房，采光好， 户型方正，满5年,260,35288,2室1厅,低楼层,8,精装,东,2003,73.68,白云畔山花园圣地摩坊,梅花园,白云,一梯七户,有,商品房,https://gz.lianjia.com/ershoufang/108403407971.html
保利红棉花园 东南向 大两房 户型好 厅出阳台,满五唯一 东南向 大两房 户型好 厅出阳台 南北对流 全明屋,250,36133,2室2厅,中楼层,9,其他,东南,1997,69.19,保利红棉花园,江燕路,海珠,一梯五户,无,商品房,https://gz.lianjia.com/ershoufang/108403398837.html
芳村花园 厅出阳台 南向户型 中层采光通透,芳村花园 满五唯一  南向厅出阳台 南向户型 中层采光通透,288,36516,2室2厅,中楼层,18,简装,南,1999,78.87,芳村花园,坑口,荔湾,三梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403405233.html
黄石西路 富力阳光美居 电梯高层3房 采光通风好,过五年不唯一，格局方正，厅出阳台,305,32282,3室2厅,高楼层,16,简装,东,2001,94.48,富力阳光美居,马务,白云,两梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403402373.html
配套成熟 环境舒适 业主诚心放卖,"业主诚意放卖,近地铁,环境舒服,老城区少有好房",93,27987,1室1厅,高楼层,7,其他,南 北,0,33.23,洪德路,洪德,海珠,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403407614.html
中高层电梯两房 楼龄新 满五唯一 诚心卖,中高层电梯两房 楼龄新 满五唯一 诚心卖,220,35144,2室1厅,高楼层,7,精装,北,2012,62.6,尚境雅筑,罗冲围,白云,一梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403402077.html
满五年唯一(广东省)省税费，业主诚心卖，装修保养新,此房满五年唯一，业主诚心卖，装修保养新，随时交易,365,40444,3室2厅,低楼层,31,精装,东北,2004,90.25,富力桃园,罗冲围,白云,三梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403404046.html
厅出阳台，中楼层，望小区花园，过五年唯一免重税,厅出阳台，中楼层，望小区花园，过五年唯一免重税，采光通风好~,380,54395,2室1厅,中楼层,26,其他,西南,2005,69.86,富力广场T区,中山八,荔湾,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403402059.html
广州机务段精装大两房，厅出阳台，楼层低,精致两房，南北格局，视野宽阔，采光通足,140,25226,2室1厅,低楼层,7,简装,南,0,55.5,广州机务段,三元里,越秀,一梯一户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403373677.html
精装三房，凤岗地铁站600米位于教育城板块，配套齐全,房子保养好，精装三房，凤岗站600米，位于教育城板块,153.8,18757,3室2厅,中楼层,27,精装,东北,0,82,保利中航城一期,朱村,增城,两梯七户,有,商品房,https://gz.lianjia.com/ershoufang/108403385675.html
仁安花园 3室2厅 北,链家网真房源，更多房源信息请联系经纪人,130,13955,3室2厅,高楼层,11,毛坯,北,0,93.16,仁安花园,朱村,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403384353.html
神岗市场  电梯房  交通方便  生活便利,小区绿化好，交通便利，生活配套成熟,68.8,8473,2室1厅,中楼层,10,毛坯,东南,2013,81.2,人盛巴厘天地,神岗镇,从化,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403389826.html
誉山国际一房一厅.南向.视野开阔.旁边是商场,此房中楼层，南向，位置靓，视野开阔，通透格局好。,25.8,6499,1室1厅,中楼层,28,毛坯,南,0,39.7,合景誉山国际,永和,增城,三梯二十六户,有,商品房,https://gz.lianjia.com/ershoufang/108403401821.html
万科云城米酷 1室0厅 北,链家网真房源，更多房源信息请联系经纪人,39.5,21585,1室0厅,高楼层,18,精装,北,2017,18.3,万科云城米酷,智慧城,天河,七梯一百六十八户,有,商品房,https://gz.lianjia.com/ershoufang/108403403817.html
汇港威华雅苑 3室2厅 南 北,链家网真房源，更多房源信息请联系经纪人,135,12777,3室2厅,中楼层,31,精装,南 北,2018,105.66,汇港威华雅苑,朱村,增城,两梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403391129.html
高层洋房，稀有南向4房，看花园+白云山景，采光通风好,此房2022.6.30号满五年，南向4房，看花园看白云山,780,63148,4室2厅,高楼层,7,其他,南,0,123.52,万科o境,白云大道南,白云,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403328498.html
誉峰A4栋，四房双主套，高层正南向望花园单边位,此房正南向单边位，楼层好，视野开阔，采光充足，安静望花园。,4150,176943,4室2厅,高楼层,45,精装,南,2007,234.54,誉峰,珠江新城东,天河,两梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108403357624.html
大德路 全新两房 视野开阔 采光充足,中楼层 对流格局 户型方正实用 配套完善 生活便利,90,31668,2室1厅,高楼层,6,精装,东 西,0,28.42,大德路,解放南,越秀,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108402859835.html
海联路实用140方电梯平层带小院，一梯两户南北对流。,户型方正 南北对流 大阳台花园,480,54061,4室2厅,高楼层,9,精装,东南,0,88.79,海联路,东晓路,海珠,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403346525.html
温馨舒适  精装修可拎包入住  中楼层采光好  西南望江,温馨舒适，产权清晰，户型方正实用，配套完善,910,54122,5室2厅,中楼层,26,精装,西南,2015,168.14,花语水岸,大坦沙,荔湾,两梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403366427.html
顺华名庭 电梯三房 此户型方正 少有放盘  满五,中大地铁口，电梯房，配套设施齐全，交通便利,418,45509,3室1厅,高楼层,12,精装,东北,2001,91.85,顺华名庭,新港西,海珠,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403363696.html
云山诗意 满五年，南北对流，通风采光好，户型方正,此物业满五年，南北对流，通风采光好，户型方正，中层望花园,545,40972,4室2厅,中楼层,18,精装,东北 南,2008,133.02,云山诗意,黄边,白云,两梯三户,有,商品房,https://gz.lianjia.com/ershoufang/108403336535.html
城市家园二期 证过5年 大3房 电梯高层 南北对流,城市家园二期 证过5年 大3房 电梯高层 南北对流,142,13035,3室2厅,高楼层,28,简装,北,2007,108.94,城市家园二期,新塘北,增城,四梯十五户,有,商品房,https://gz.lianjia.com/ershoufang/108403382640.html
时代倾城(增城区) 2室1厅 北,链家网真房源，更多房源信息请联系经纪人,85,14913,2室1厅,高楼层,31,精装,北,2011,57,时代倾城(增城区),荔城增江,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403396454.html
南北对流3房，视野好，采光充足,小区地铁口的品质小区，业主自住，装修保养好,210,19743,3室2厅,高楼层,32,精装,南 北,2011,106.37,尚东阳光雅苑,沙村,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403378892.html
锦绣天伦精装两房，中楼层望花园，看房方便！,此房过五年，税费可省5.3%的增值税，业主也是换房诚心!,168,20677,2室2厅,中楼层,33,精装,北,2015,81.25,敏捷锦绣天伦,新塘北,增城,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403390344.html
凤天苑满五年高层大四房 正南向无遮挡 一线景观,业主诚心卖，保养新，高楼层，大四房，优质靠山户型,271,20106,4室2厅,高楼层,24,精装,南,2002,134.79,碧桂园凤凰城凤天苑,凤凰城,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403388491.html
碧桂园凤凰城凤馨苑 4室2厅 西,链家网真房源，更多房源信息请联系经纪人,175,18887,4室2厅,高楼层,18,精装,西,2002,92.66,碧桂园凤凰城凤馨苑,凤凰城,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403386647.html
过五年唯一，中楼层，税费免1%契税1%,此房过五年唯一，户型正方 视野很好 业主自住保养好,129,16071,2室2厅,中楼层,11,精装,北,2014,80.27,富雅都市华庭,新塘北,增城,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403381427.html
中间楼层，户型方正，视野好，采光足,小区环境好，户型方正，采光充足，交通方便。,125,18222,3室2厅,中楼层,32,精装,北,2017,68.6,保利i立方,永和,增城,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403392571.html
锦绣天伦三街3房2卫精装修，业主自住，看房方便！,此房满5不唯一 精装修 保养好 税费低,208,20926,3室2厅,高楼层,33,精装,南,2015,99.4,敏捷锦绣天伦,新塘北,增城,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403396628.html
广州敏捷绿湖首府三期 3室2厅 南,链家网真房源，更多房源信息请联系经纪人,120,10380,3室2厅,低楼层,32,其他,南,2019,115.61,广州敏捷绿湖首府三期,石滩镇,增城,一梯五户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403325769.html
岗贝路精装三房 南北对流 双阳台采光通风好,此房满五唯一 户型方正 精装修三房 生活便利,156,22642,3室1厅,中楼层,6,精装,南,0,68.9,岗贝路,机场路,白云,一梯两户,无,商品房,https://gz.lianjia.com/ershoufang/108403329849.html
融创空港经济区 祈福都会 2房 没入住过 看花园,看花园，视野开阔，无遮挡，户型方正实用，业主诚心出卖,88,11402,2室2厅,低楼层,11,精装,北,2009,77.18,祈福都会花园,花山镇,花都,一梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403331233.html
滨江绿园 3号线旁 精装三房两卫 楼层好 配套设施齐全,此房满5年唯一，税费少，全新精装，还未入住。楼层好采光足,285,31121,3室1厅,中楼层,6,精装,北,2004,91.58,滨江绿园,大石,番禺,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403364626.html
三堂路，大三房 满五年  清晰随时可以过户,此房子满五年，楼层好，采光充足，配套设施齐全 交通便利,125,16150,3室1厅,低楼层,6,精装,东南 南,0,77.4,三堂路,市桥,番禺,一梯两户,无,商品房,https://gz.lianjia.com/ershoufang/108403337908.html
锦绣花园南区  低 楼层 南向望园内,此房满五锦绣花园南区 低楼层  三房  园中安静,178,22195,3室2厅,低楼层,7,简装,东南,1997,80.2,锦绣花园南区,钟村,番禺,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403345162.html
刚需三房，中层，满五税费少，看房方便,刚需三房，中层，满五税费少，看房也方便。,196,24969,3室1厅,中楼层,7,简装,南,2004,78.5,美心东苑,番禺客运站,番禺,一梯两户,无,商品房,https://gz.lianjia.com/ershoufang/108403334988.html
晓翠苑 2室1厅 北,链家网真房源，更多房源信息请联系经纪人,151,24502,2室1厅,高楼层,15,简装,北,1999,61.63,晓翠苑,机场路,白云,一梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403364788.html
亚运城天成2区 3室1厅 南,链家网真房源，更多房源信息请联系经纪人,314,32648,3室1厅,高楼层,50,精装,南,2019,96.18,亚运城天成2区,亚运城,番禺,三梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403363530.html
诚心卖，户型方正，南北对流，采光好,南北对流，视野开阔，采光充足，居住环境好,133,11514,3室2厅,低楼层,32,毛坯,南,2017,115.52,金地香山湖,永和,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403349233.html
金海岸花园聚湖 3室1厅 西,链家网真房源，更多房源信息请联系经纪人,373,38035,3室1厅,中楼层,17,精装,西,2014,98.07,金海岸花园聚湖,番禺客运站,番禺,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403336439.html
此房满两年，业主包增值税，全新装修、三面采光！,此房满两年，业主包增值税，新装修三房，通风采光好！,123,19432,3室1厅,高楼层,6,精装,南,0,63.3,清河中路,市桥,番禺,一梯三户,无,商品房,https://gz.lianjia.com/ershoufang/108403360247.html
金玫瑰苑 高层电梯两房 厅出阳台 视野好,高层厅出阳台，封闭式管理花园小区，全明屋,295,44854,2室1厅,高楼层,19,简装,东,1999,65.77,嘉鸿花园金玫瑰苑,东晓南,海珠,两梯九户,有,商品房,https://gz.lianjia.com/ershoufang/108403328215.html
地铁口物业 刚需方正3房 采光充足 配套成熟  格局好,采光布局好，小区经改造后环境干净整洁，地铁口在家门,96,9982,3室2厅,高楼层,6,精装,东南,0,96.18,培新楼,旧区,花都,一梯八户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403367475.html
保利地铁两房 望花园 三期好楼层 视野宽阔 安静舒适！,保利地铁两房 望花园 三期好楼层 视野宽阔 安静舒适！,118,14644,2室2厅,中楼层,26,简装,北,2012,80.58,保利城花园,秀全街,花都,两梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403344567.html
东向小2房，户型方正，阳光充足,东向小2房，户型方正，交通购物便利，近地铁,102.8,16806,2室1厅,低楼层,28,简装,东,2007,61.17,城市家园二期,新塘北,增城,四梯十五户,有,商品房,https://gz.lianjia.com/ershoufang/108403334149.html
入门级好房！鸟语花香公园旁，大厅大房好楼层,房屋过五年广东唯一，低于市场实属难得，正规两房通风采光,108,19303,2室1厅,中楼层,9,简装,东 西 北,0,55.95,桂花岗,桂花岗,越秀,一梯三户,无,商品房,https://gz.lianjia.com/ershoufang/108403368403.html
中曦大厦 3室1厅 东南,链家网真房源，更多房源信息请联系经纪人,760,73551,3室1厅,中楼层,32,精装,东南,2001,103.33,中曦大厦,北京路,越秀,三梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403365739.html
格局通透 户型方正 双阳台 小区环境优美安静 交通便利,格局通透 户型方正 双阳台 小区环境优美安静 交通便利,249,22730,3室1厅,高楼层,31,毛坯,东 西 北,2016,109.55,碧桂园豪进广场,白江,增城,两梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403364149.html
电梯便宜两房 厅出阳台 户型方正 通风采光好 随时可看,产权清晰，满五唯一，无抵押，业主在外地没时间搭理,175,27297,2室1厅,低楼层,17,精装,东,2000,64.11,汇侨新城南区,新市,白云,两梯十二户,有,商品房,https://gz.lianjia.com/ershoufang/108403360706.html
路劲天隽峰 南北对流单位 安静不靠路 户型双阳台设计,南北 对流，夜景好靓，，自驾或公共交通都便利,310,27928,3室2厅,中楼层,32,精装,西南,2019,111,路劲天隽峰,旧区,花都,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403352424.html
过五年唯一，地铁口，小区安静舒适，管理好,过五年唯一，地铁口，小区安静舒适，管理好,235,21183,3室1厅,高楼层,18,毛坯,南,2013,110.94,假日花园,白江,增城,两梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403370112.html
金口岸大厦 市桥芯  繁华中  满五 电梯高层,幸福就是有家回，电梯高层  方正三房，推窗见景 随时看房,288,26073,3室1厅,高楼层,22,简装,东南,2003,110.46,金口岸大厦,市桥,番禺,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403369136.html
富力桃园 中层实用两房 视野开阔景观棒,满五 中楼层视野开阔 采光通风好,294,39096,2室1厅,中楼层,30,精装,东北,2009,75.2,富力桃园,罗冲围,白云,三梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403366960.html
电梯高层望江，采光通风好，过五唯一,此房楼层好，采光充足，视野好，设施配套齐全，交通便利,270,26920,3室1厅,中楼层,16,简装,东,1997,100.3,丽江花园德荫楼,南浦,番禺,一梯十一户,有,商品房,https://gz.lianjia.com/ershoufang/108403352012.html
光南街   精装修  带平台  可公积金 过5年物业,精装三房，玻码框架，可做公积金贷款。,120,19078,3室1厅,中楼层,8,精装,南,0,62.9,光明南路,市桥,番禺,一梯两户,无,商品房,https://gz.lianjia.com/ershoufang/108403367702.html
宝岗大道怡雅苑二期三房2卫通风透气采光好,过五不唯一，此房是怡雅苑二期 厅出阳台 业主诚意卖,418,39802,3室2厅,中楼层,16,简装,西北,1999,105.02,怡雅苑(海珠),宝岗,海珠,两梯七户,有,商品房,https://gz.lianjia.com/ershoufang/108403370398.html
华侨新村团结路大四房，东南北单边，户型方正通风对流,华侨，东南北单边位，格局方正实用，环境优美，安静不吵,900,69703,4室2厅,低楼层,6,其他,南,2000,129.12,华侨新村,淘金,越秀,一梯三户,无,商品房,https://gz.lianjia.com/ershoufang/108403349052.html
岗贝社区白沙新村  精装实用三房  明亮方正看房方便,低层精装修实用三房，方正安静，新净明亮，低税费；,138,25485,3室2厅,低楼层,9,精装,南 北,1998,54.15,白沙新村,机场路,白云,一梯三户,无,商品房,https://gz.lianjia.com/ershoufang/108403355640.html
格局方正，低楼层，南北对流，小区管理。,格局方正，低楼层，南北对流，小区管理。,58.5,9349,3室2厅,低楼层,7,简装,南 北,0,62.58,商业大道,旧区,花都,一梯两户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403358072.html
南北对流，采光通风，税费少，刚需就是他,框架结构可以公积金，产权清晰， 过五年免增值税,164,16165,3室1厅,高楼层,7,简装,南 北,2003,101.46,丹桂园,市桥,番禺,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403366470.html
户型方正，三房带主套，厅出阳台，风景优美,此房子过五唯一，采光充足，厅出阳台，南北对流，通风透气,238,36442,3室2厅,中楼层,8,精装,南 北,1999,65.31,银建小区,周门,荔湾,一梯两户,无,房改房,https://gz.lianjia.com/ershoufang/108403369810.html
距离3号线市桥地铁800米，过五年，唯一.,在3号线地铁沿线，1公里范围内，原装3房，，过五年唯一..,160,19121,3室2厅,低楼层,32,简装,西,1998,83.68,侨基花园,市桥,番禺,三梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403364072.html
