标题,卖点,总价,单价,户型,楼层,共有楼层数,装修,朝向,建造时间,面积,小区,区域,所属区,梯户比例,是否有电梯,房屋属性,详情页
急shou 9号线地铁口300米 全新装修 几乎没住过,急shou 9号线地铁口300米 全新装修 几乎没住过,150,16057,3室2厅,高楼层,11,精装,东北,0,93.42,天马河壹号四期,秀全街,花都,一梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403380050.html
边检大院 2000年原装电梯楼 东南向三房双阳台设计,东南向电梯三房，双阳台设计，小区居住人群素质高,729,74086,3室2厅,高楼层,9,精装,东南,2015,98.4,边检大院,龙口西,天河,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403380992.html
框架两房  南北向  精装修 随时可看,南北向正规两房，安静舒适。看房方便,220,46103,2室1厅,中楼层,9,精装,南,0,47.72,东华东路,东山口,越秀,一梯九户,无,商品房,https://gz.lianjia.com/ershoufang/108403379755.html
低层全明三房 东南北单边位 随时看房,此房满五年，户型方正，安全不吵,480,48588,3室2厅,低楼层,9,简装,东 南 北,1990,98.79,东华西路,东川路,越秀,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403382032.html
南沙金茂湾 朝江三房 看园林看绿化,明珠湾板块，综合体小区，东南朝向，品牌五星物业..,452,36558,3室2厅,低楼层,25,毛坯,东南,0,123.64,南沙金茂湾,明珠湾,南沙,三梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403400076.html
电梯高层 全新精装修 近地铁 拎包入住,此房满五年 电梯高层 全新精装修 近地铁,146,31459,2室1厅,中楼层,9,精装,西,1995,46.41,春暖花园,机场路,白云,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403398191.html
大北路 3室1厅 南 北,链家网真房源，更多房源信息请联系经纪人,138,21767,3室1厅,中楼层,6,精装,南 北,0,63.4,大北路,市桥,番禺,一梯两户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403381432.html
祈福辉煌台 北站地铁口物业 精装修 北向望花园,北站板块，交通便利。北朝向，精装修，配套齐全,173,14787,3室2厅,高楼层,28,精装,东北,2015,117,祈福辉煌台,旧区,花都,三梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403378619.html
新上 东山口 2房朝南 全明屋 近地铁 看房方便,"1.2房朝南 带大阳台，明厨明厕。
2.楼层低，全明屋 近地铁。",220,45092,2室1厅,中楼层,9,其他,南 西,0,48.79,东华东路,东山口,越秀,一梯九户,无,商品房,https://gz.lianjia.com/ershoufang/108403379679.html
时代天韵二期  四房两卫两厅 南向望湖,舒适大四房，小区位置比较好，安静，房子保养好.业主诚意出,485,37409,4室2厅,中楼层,23,精装,南,2018,129.65,时代天韵,知识城,黄埔,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403380188.html
好房优选，精装3房2卫，满五年唯一，税费少，方正实用,电梯精装，户型方正，满五年唯一，税费少，好房优选,506,55132,3室2厅,中楼层,7,其他,北,2014,91.78,万科峯境,白云大道南,白云,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403385990.html
聚德花园 原装电梯 带天台花园 南向有匙两房随时看房,此房满五，南向看花园，带天台花园，室内环境安静,240,39670,2室2厅,高楼层,9,精装,东南,1997,60.5,聚德花园,赤岗,海珠,一梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403398933.html
cbd板块，座南向北，即可入住。,此房继承所得，可以过户，满2年不唯一，楼层好，采光充足,355,22874,3室2厅,高楼层,18,精装,南 北,2010,155.2,骏威锦东花园B区,新区,花都,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403388652.html
泰景花园 南向精装两房 看房方便,全新装修，高层南向两房，采光通风好,,,2室1厅,高楼层,8,精装,南,2006,70.81,泰景花园,黄埔区府,黄埔,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403384177.html
全明户型，厅出阳台，精装三房，有钥匙，看房方便,此房为一手房源，开发商自持物业，没有额外税费，南向格局。,738,61639,3室1厅,高楼层,28,其他,东南,2003,119.73,自由心岸,滨江中,海珠,三梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403377340.html
南向采光很好，电梯楼，交通方便，生活便利,松园大道，电梯楼，南向采光很好，满五不唯一，户型方正采光好。,80,10921,3室1厅,中楼层,9,其他,南,0,73.26,松园大道,旧区,花都,一梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403392760.html
中山七路  电梯加装中 看房方便 陈家祠旁 楼龄新,房子户型方正，证过五年，看房随时方便看。电梯加装中。,227,39342,3室1厅,低楼层,9,简装,东南 东,0,57.7,中山七路,龙津,荔湾,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403381666.html
云苑新村电梯高层视野宽阔采光好南北双向 满五唯一,此房满五唯一免个人所得税 朝向南北对流格局好视野开阔全明户型,225,31983,2室1厅,高楼层,9,简装,东南,1999,70.35,广园云苑新村,景泰,白云,一梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108403405647.html
正南向 南北对流 安静望花园 楼间距大 实用率高,正南向 南北对流 安静不吵 望花园 楼间距大 实用率高,2120,153835,3室2厅,低楼层,18,精装,南,1990,137.81,新城海滨花园S区,珠江新城东,天河,两梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403384370.html
横枝岗56号大院安静一房一厅 大院管理,此房楼层低，近麓湖，大院管理，医疗资源丰富，适合居住,165,45593,1室1厅,低楼层,5,简装,北,0,36.19,横枝岗56号大院,麓景,越秀,一梯两户,无,商品房,https://gz.lianjia.com/ershoufang/108403415225.html
花城路。配套完善，格局方正。采光通风好，近地铁...,此房位于花城路地铁口物业，地段优越，交通方便，休闲生活便利,78,8530,3室1厅,中楼层,5,精装,南,0,91.45,花城路,旧区,花都,一梯四户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403375889.html
此房满五唯一 税费少  格局方正  采光通透  实用率高,此房满五唯一 税费少  格局方正  采光通透  实用率高,338.8,37354,3室2厅,低楼层,18,精装,南,2008,90.7,尚东尚筑,番禺客运站,番禺,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403378793.html
绿怡居 过五年唯一 南向大三房 采光通风好 格局方正,过5年唯一南向精装大三房 采光通风好，带28方大露台 格局方正。,301,31519,3室2厅,高楼层,4,精装,南,1999,95.5,祈福新村绿怡居,祈福新村,番禺,一梯一户,无,商品房,https://gz.lianjia.com/ershoufang/108403393388.html
花园社区  电梯高层 东南向 采光视野好,东南向 户型方正 满五年 花园小区管理 采光充足 配套完善,215,29676,2室1厅,高楼层,9,简装,东南,1995,72.45,侨爱苑,机场路,白云,一梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403382132.html
第二金碧 户型方正厅出阳台 满五年唯一 看房有钥匙,此房证满五年唯一物业，免增值税及个税省全额6.3%税费 中楼层,373,45807,3室1厅,中楼层,33,简装,北,2000,81.43,金碧花园第二金碧,金碧,海珠,三梯十户,有,商品房,https://gz.lianjia.com/ershoufang/108403403157.html
看房有钥匙   产权过五年省税费,地铁口两房，过五年，看房方便  ，低楼层 ，读仲元,162,26777,2室1厅,中楼层,7,简装,东北,1993,60.5,吉祥北园,洛溪,番禺,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403393455.html
水均大街方正三房，安静不吵，南北对流 低楼层,商品房过五年不唯一，南北对流3房1厅 ，近地铁,408,62424,3室1厅,中楼层,6,精装,南 北,0,65.36,水均岗,东风东,越秀,一梯两户,无,房改房,https://gz.lianjia.com/ershoufang/108403397683.html
海运小区小户型房源，采光景观好。,此房满五年，东向采光好高楼层视野开阔，近江边出行方便。,408,70846,2室1厅,高楼层,26,简装,东,1996,57.59,海运小区,五羊新城,越秀,两梯十户,有,商品房,https://gz.lianjia.com/ershoufang/108403406504.html
业主急要资金 全新未入住  随时可以看房 低密度高绿化,业主诚意出  全新未入住 低密度高绿化小区，居住舒适度高,283,36706,2室2厅,高楼层,20,毛坯,西南,2017,77.1,华发荔湾荟,滘口,荔湾,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403392757.html
东荟城 精装望花园2房 无欠款户口不占用 随时交易,此房业主包增值税，安静望花园二房，红本在手随时交易,290,41471,2室1厅,低楼层,28,精装,北,0,69.93,万科东荟城,香雪,黄埔,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403399491.html
此房满五不唯一，大三房户型方正，楼层好，视野开阔,此房满五不唯一，大三房户型方正，双主套，双阳台，南向望园景,395,28009,3室2厅,低楼层,18,精装,南,2005,141.03,番禺海伦堡花样年华二期,桥南,番禺,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403390964.html
康乃馨 南向安静大两房 非顶楼 满五年唯一 有钥匙,此房为商品房满五年，大两房，光线充足，户型方正,193,27911,2室1厅,高楼层,9,精装,南,2000,69.15,康乃馨苑,坑口,荔湾,一梯六户,无,商品房,https://gz.lianjia.com/ershoufang/108403387513.html
锦绣御景国际四期 2室1厅 东北,链家网真房源，更多房源信息请联系经纪人,132,16041,2室1厅,中楼层,32,精装,东北,2015,82.29,锦绣御景国际四期,荔城西区,增城,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403407114.html
"楼层好,采光好视野宽阔,满五,格局方正,配套齐全","楼层好,采光好视野宽阔,满五,格局方正,配套齐全",218,23543,3室2厅,高楼层,6,简装,东,2004,92.6,锦绣生态园,钟村,番禺,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403384046.html
万科柏悦湾 中高楼层 视野开阔 证满五年,柏悦湾小区，中高楼层，视野开阔采光好，证满五年。,415,44324,3室2厅,中楼层,34,精装,北,2010,93.63,万科柏悦湾,大坦沙,荔湾,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403391044.html
配套成熟，近秀全公园，花都湖，地铁站。,此房马赛克外墙，配套成熟，近秀全公园，花都湖，地铁站。,100,11934,3室2厅,中楼层,12,简装,北,0,83.8,中山大楼,旧区,花都,一梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403399057.html
天马河五期，东南向看河景观，毛坯三房，业主诚意卖,交通便利近地铁，距离汽车城站地铁口500米、楼下有公交车站,187,15554,3室1厅,中楼层,18,毛坯,南,2015,120.23,天马河壹号五期,秀全街,花都,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403389595.html
南北对流 正南向精品三房 气宇轩昂 美轮美奂岭南园林,此房满五不唯一 轩扬通透 视野好望公园 楼层好 采光充足 悦汇城,535,55910,3室1厅,中楼层,32,简装,南,2010,95.69,岭南湾畔,西村,荔湾,三梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403385499.html
中间楼层 精装2房 业主诚心放卖 随时可以看房,房子光线充足，精装修，保养好采光充足，随时可看可签,215,32835,2室1厅,中楼层,34,精装,北,0,65.48,万科山景城,科学城,黄埔,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403413243.html
中海锦观华庭（D区）高层视野开阔 配套完善,通风采光好，低密度，高层，大花园 格局方正,528,56952,3室2厅,高楼层,26,精装,西南,0,92.71,中海锦观华庭（D区）,广钢新城,荔湾,两梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403388467.html
横枝岗南街，低层证过五年税费少，省级登峰。,此房满五年免增值税 小区外围是麓湖公园 目前在建12号线地铁,166,45870,1室1厅,低楼层,5,简装,南,0,36.19,横枝岗南街,麓景,越秀,一梯五户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403414826.html
三期 08年楼龄  南向三房 一线江景 诚心卖,三期 08年楼龄  南向三房 一线江景 诚心卖,618,53359,3室2厅,高楼层,26,精装,南,2005,115.82,金碧花园第三金碧,金碧,海珠,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403385757.html
天立精致三房 可拎包入住 东南向三房,采光好 精致装修 东南向 四年前装修 保养好 。,650,66667,3室1厅,中楼层,29,精装,东南,1993,97.5,天立大厦,龙口东,天河,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403388564.html
此房户型方正，东南向单边位望花园，采光好,此房满五年，全新毛坯，自由改造，东南向三房看花园,183,15648,3室2厅,中楼层,11,其他,东南,2014,116.95,路劲隽悦豪庭二期三期,花城街,花都,一梯三户,有,商品房,https://gz.lianjia.com/ershoufang/108403397954.html
环市西路五号线西村站，精装小三房。,中层楼，三面单边位置，采光好，满五年。,128,26931,3室1厅,中楼层,6,精装,南,0,47.53,环市西路,流花站前,荔湾,一梯五户,无,商品房,https://gz.lianjia.com/ershoufang/108403393389.html
景泰新村 证满五年且唯一，全明户型 配套成熟交通便利,证满五唯一 低楼层 配套齐全 交通便利 门口有平台可利用,90,31403,1室1厅,低楼层,8,简装,南,0,28.66,景泰新村,景泰,白云,一梯五户,无,商品房,https://gz.lianjia.com/ershoufang/108403405346.html
敏捷锦绣天伦 1室1厅 南,链家网真房源，更多房源信息请联系经纪人,107,17660,1室1厅,中楼层,32,其他,南,2014,60.59,敏捷锦绣天伦,新塘北,增城,两梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403409022.html
铂林国际 高楼层 东向视野好 Jia格优质 随时看房,此房楼层好，东向无遮挡采光好，房子保养干净，随时看房。,,,1室0厅,高楼层,32,精装,东,2005,32.55,铂林国际公寓,珠江新城西,天河,一梯十二户,有,商品房,https://gz.lianjia.com/ershoufang/108403411374.html
格局方正，视野开阔望花园，好楼栋好楼层,格局方正，视野开阔望花园，好楼栋好楼层,177,23519,2室2厅,低楼层,34,毛坯,南,2018,75.26,广州融创文旅城B1区,花城街,花都,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403402467.html
周门街 平层电梯两房 西外无占用,加装平层电梯，楼道新，南北对流，通风采光好,239,43701,2室1厅,低楼层,9,简装,南,1998,54.69,周门小区周门街,周门,荔湾,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403405573.html
高楼层三房两卫保养好位置安静视野开阔,满五唯一，保养好，都是用瓷砖地板，无欠款,168,18067,3室2厅,高楼层,18,简装,北,2002,92.99,碧桂园凤凰城凤馨苑,凤凰城,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403384301.html
此房满五年，中间层南向，采光充足,南向带入户，中间层视野开阔，户型实用,170,18479,3室1厅,中楼层,11,精装,南,2002,92,碧桂园凤凰城凤馨苑,凤凰城,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403382574.html
南向三房带入户，前排无遮挡视野开阔,此房过五年，中间层视野开阔采光好,195,19563,3室2厅,低楼层,18,精装,南,2002,99.68,碧桂园凤凰城凤馨苑,凤凰城,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403389916.html
广园云苑新村 电梯精装三房 厅出阳台 采光好,电梯房 采光好 精装三房 一手业主 厅出阳台,222,33229,3室1厅,中楼层,9,精装,北,1999,66.81,广园云苑新村,景泰,白云,一梯四户,有,房改房,https://gz.lianjia.com/ershoufang/108403379868.html
云山诗意 南向 高楼层看花园 视野好 户型方正实用,此物业满五年，南北对流，通风采光好，户型方正，高层南向,500,47935,3室3厅,高楼层,18,其他,东南,2008,104.31,云山诗意,黄边,白云,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403380103.html
此房满五唯一税费少，高楼层精装修,此房满五唯一税费少，南北对流户型，高楼层精装修拎包入住,358,38901,3室2厅,中楼层,26,精装,西南,2014,92.03,深业江悦湾,金沙洲,白云,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403405356.html
中大商圈 近地铁 房子格局方正中楼层 采光好,交通便利 适宜居住 产权清晰 格局方正 满五唯一,210,35283,3室1厅,中楼层,8,精装,南,0,59.52,新港西路,中大,海珠,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403397819.html
市二宫成熟商圈，原装电梯楼，近地铁，视野开阔,市二宫成熟商圈，原装电梯楼，近地铁，楼层好，视野开阔,382,27003,3室3厅,高楼层,22,简装,东,1999,141.47,侨宏大厦,前进路,海珠,两梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403396443.html
东南朝向  视野宽阔   大平层三房,东南朝向  证过五年，望园林小区，环境优美,185,17519,3室2厅,中楼层,6,精装,东南,2003,105.6,碧桂园凤凰城凤仪苑,凤凰城,增城,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403390607.html
合生四期次新楼龄全新入住 中高楼层望小区花园,此房楼层好，视野宽阔，采光充足,160,17620,2室2厅,中楼层,25,精装,南 北,2017,90.81,合生湖山国际,凤凰城,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403398710.html
1号线5号线交汇杨箕站旁原装电梯满五唯一无抵押大两房,满五唯一 无抵押 原装电梯 全新装修,635,69559,2室1厅,中楼层,11,精装,东南,1995,91.29,名品居,杨箕,越秀,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403404966.html
豪进山湖珺璟.中高楼层南向毛胚4房,豪进山湖高品质小区，高楼层南北对流格局.毛坯.,305,23352,4室1厅,高楼层,33,毛坯,南,2013,130.61,豪进山湖珺璟,白江,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403072440.html
金地香山湖，前排看湖大4房，中高层，无遮挡,户型方正 高楼层 南北对流 视野开阔 采光充足。业主诚心出卖,170,12266,4室2厅,高楼层,32,毛坯,南 北,2016,138.6,金地香山湖,永和,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403311250.html
21号线凤岗站地铁口快线，中楼层四房南向望河景,21号线凤岗站地铁口快线，科教城板块。小区管理完善，带车位,225,16233,4室2厅,中楼层,25,精装,南,2018,138.61,碧桂园城市花园漫绿苑,朱村,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403002975.html
学府名郡    南向三房    采光通风好户型方正,采光通风好，正南向，户型方正，带装修实用性高,220,17882,3室2厅,高楼层,32,精装,南,2017,123.03,合汇学府名郡,白江,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403124855.html
实用四房、南北对流、景观优美、视野开阔、30平方阳台,实用四房、南北对流、景观优美、视野开阔、30平方入户阳台,473,19212,4室2厅,中楼层,24,毛坯,南 北,2011,246.21,翡翠绿洲湖翠苑,凤凰城,增城,两梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108403274204.html
四房，南北对流，保养好，位置安静。,湖山国际、精装三房、南北对流、拎包入住、高层望..,260,18182,4室2厅,中楼层,18,精装,东南,2008,143,合生湖山国际,凤凰城,增城,两梯三户,有,商品房,https://gz.lianjia.com/ershoufang/108403135480.html
沙园地铁口 准电梯 南向全明屋 一证两套间 满五年唯一,精装，两套两房一厅，一个购房资格，同时满足刚需，出租两种需求,320,26539,4室2厅,中楼层,8,精装,南 北,2000,120.58,凤凰新村,工业大道北,海珠,一梯三户,无,商品房,https://gz.lianjia.com/ershoufang/108402421197.html
金地荔湖城大花园，三层叠墅，底层可做商铺，使用率高,此房位于小区花园中间，南北向带装修三层叠墅，使用率高,308,16814,5室3厅,低楼层,5,简装,东北,0,183.19,金地荔湖城,永和,增城,一梯一户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403065063.html
豪进山湖珺璟 5室2厅 东南,链家网真房源，更多房源信息请联系经纪人,375,19916,5室2厅,低楼层,31,毛坯,东南,2011,188.3,豪进山湖珺璟,白江,增城,两梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108403311724.html
诚卖 非开发商装修一线别墅景观 南北对流一梯两户,诚卖 很少住保养新  南北对流四房中层 一线别墅景观,555,22527,5室2厅,中楼层,18,精装,东南 南 北,2011,246.38,翡翠绿洲湖滨苑,凤凰城,增城,两梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108403192232.html
东方名都全新未住精装修四房满五年税费少看房方便,满五年，无按揭，地铁口物业，交通便利 配套齐全,248,23148,4室2厅,低楼层,15,精装,南,2012,107.14,东方名都,白江,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108402737636.html
南北对流，业主提供发票，税费低,南北对流，视野开阔，业主提供发票，税费低,272,16088,4室2厅,低楼层,18,简装,南 北,2007,169.08,现代城市花园,新塘北,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403119333.html
金地荔湖城全新毛坯临湖叠墅诚意出,此房户型方正，实用率高，临湖景观好，带前后花园，业主诚意卖,255,13028,4室2厅,低楼层,3,毛坯,东南,0,195.74,金地荔湖城,永和,增城,一梯两户,无,商品房,https://gz.lianjia.com/ershoufang/108403036935.html
嘉仕花园 精装修三房 实用率高 通透对流,此房满五年，免重税。重新改造设计，实用三房，带阳台，对流,380,51283,3室2厅,低楼层,9,精装,西,2003,74.1,嘉仕花园西区,滨江东,海珠,一梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403236949.html
广州海伦堡南岗广场傍跃式四房满五 精装修 17500不到,海伦堡花园跃式四房满五，南向小区人车分流。,230,17396,4室2厅,低楼层,12,精装,南,2008,132.22,广州海伦堡,沙村,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108402829566.html
满五唯一，碧桂园稀有复式，南北对流,荔城碧桂园，配套完善，环境宜人，居住舒适， 上学方便,190,11419,4室1厅,高楼层,6,精装,南 北,2008,166.4,荔城碧桂园,荔城西区,增城,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108402627176.html
奢华大平层动静分明，南北对流采光好，地铁就在家门口,奢华大平层动静分明，南北对流采光好，地铁就在家门口,435,15183,5室2厅,中楼层,27,毛坯,南 北,2013,286.52,侨建御溪谷北区,中新镇,增城,两梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108403324292.html
新塘地铁口 大三房  税费少 业主诚心放卖,房子是东北，大润发商圈和地铁口新塘站、轻轨站在旁.,225,14127,3室1厅,低楼层,18,毛坯,东北,0,159.28,现代城市花园,新塘北,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108402728753.html
金地荔湖城 三叠院 正南向　中空大厅　边位,满五年，带20方花园，门口带40方公用草地，自己用，位置安静,276,16298,4室2厅,低楼层,3,精装,南,0,169.35,金地荔湖城,永和,增城,一梯两户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108402129862.html
满五精装修，楼层好，望花园，配套设施齐全，交通方便,满五精装修，楼层好，望花园，配套设施齐全，交通方便,285,24569,3室1厅,中楼层,29,精装,东南,2013,116,东方名都,白江,增城,三梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108402818549.html
高层精装大5房 三面采光 东南望珠江 西北望花城广场,高楼层看江，实用5房，装修保养新净，少有放卖,4390,186349,5室2厅,高楼层,47,精装,东南,2013,235.58,天銮,珠江新城中,天河,两梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108402721921.html
冠庭园精致两房，交通教育娱乐生活便捷,地铁口 满五唯一 精装方正两房 厅出阳台舒适 生活便利配套全面,200,33887,2室1厅,高楼层,6,精装,西南,2001,59.02,冠庭园,沙河,天河,一梯六户,无,商品房,https://gz.lianjia.com/ershoufang/108403398893.html
嘉富广场 3室1厅 南 北,链家网真房源，更多房源信息请联系经纪人,640,68582,3室1厅,高楼层,9,其他,南 北,1999,93.32,嘉富广场,水荫,越秀,两梯十三户,有,商品房,https://gz.lianjia.com/ershoufang/108403399087.html
工业路 此房是三房 框架结构 可以公积金贷款,大厅宽敞明亮，此房是三房，格局比较方正。框架结构,123,13517,3室1厅,中楼层,7,简装,南,0,91,工业路,市桥,番禺,一梯两户,无,商品房,https://gz.lianjia.com/ershoufang/108403401933.html
广州北站，地铁口，舒适大三房。,本房满五年，房子格局方正，采光通风好,160,13418,3室2厅,中楼层,10,精装,北,2012,119.25,云山雅轩,旧区,花都,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403396013.html
原装电梯，精装修，各付各税，低于成交历史,精装修，原装电梯，单边位，低于小区成交记录,245,38408,2室1厅,中楼层,12,精装,西,2000,63.79,金丰花园,赤岗,海珠,一梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403399041.html
广州北站，地铁口，舒适大三房。,本房满五年，房子格局方正，采光通风好,160,13418,3室2厅,中楼层,10,精装,北,2012,119.25,云山雅轩,旧区,花都,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403396013.html
原装电梯，精装修，各付各税，低于成交历史,精装修，原装电梯，单边位，低于小区成交记录,245,38408,2室1厅,中楼层,12,精装,西,2000,63.79,金丰花园,赤岗,海珠,一梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403399041.html
春庭花园 电梯两房精装修 满五唯一 税费少,满五唯一，业主自住，装修保养好，家私家电都是新的。,172,25857,2室1厅,高楼层,9,精装,北,1999,66.52,春庭花园,元下田,白云,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403403278.html
黄石西路 富力阳光美居 电梯高层3房 采光通风好,过五年不唯一，格局方正，厅出阳台,305,32282,3室2厅,高楼层,16,简装,东,2001,94.48,富力阳光美居,马务,白云,两梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403402373.html
东南向三房两卫，花园小区近地铁，省级,东南向三房两卫，花园小区近地铁，省级,630,53161,3室2厅,中楼层,18,简装,南,2002,118.51,江南苑,工业大道北,海珠,两梯九户,有,商品房,https://gz.lianjia.com/ershoufang/108403401966.html
洛溪新城 交通便利 南向两房户型方正,成熟社区，楼层好，采光充足，满五唯一,138,20784,2室2厅,高楼层,7,简装,南 北,1995,66.4,如意二马路,洛溪,番禺,一梯两户,无,商品房,https://gz.lianjia.com/ershoufang/108403401473.html
中高层电梯两房 楼龄新 满五唯一 诚心卖,中高层电梯两房 楼龄新 满五唯一 诚心卖,220,35144,2室1厅,高楼层,7,精装,北,2012,62.6,尚境雅筑,罗冲围,白云,一梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403402077.html
芳村花园 厅出阳台 南向户型 中层采光通透,芳村花园 满五唯一  南向厅出阳台 南向户型 中层采光通透,288,36516,2室2厅,中楼层,18,简装,南,1999,78.87,芳村花园,坑口,荔湾,三梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403405233.html
